record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
420,38854242,2024,Cardiovascular Implications of Epilepsy: Unraveling the Elevated Risk of Mortality,Cureus,1;3;14;15,,false,true,,,1:blood pressure|ventricular|cardiovascular|cardiac; 3:Researcher Workbench|cohort builder|electronic health record|workbench|EHR|SNOMED; 14:epilepsy|encephalopathy|neurological|seizure; 15:pregnancy|menstrual
421,38515211,2024,"Diversity of CFTR variants across ancestries characterized using 454,727 UK biobank whole exome sequences",Genome Medicine,2;3;5;8;10,,false,true,,,2:WGS|genotype|locus|SNP|genomic|whole genome sequencing|ancestry|exome; 3:variant effect predictor|ICD|ICD-10; 5:melanoma; 8:tuberculosis; 10:cystic fibrosis|CFTR
422,39078117,2024,Genomic Analysis Identifies Risk Factors in Restless Legs Syndrome,Annals of Neurology,2;4,,false,true,AG;NS;OD,AG;NS;OD;TR,2:whole-genome sequencing|locus|transcriptome-wide|genomic|genome-wide association|genome-wide|genetic risk|association study|common variant|loci; 4:depression
423,38937606,2024,A common flanking variant is associated with enhanced stability of the FGF14-SCA27B repeat locus,Nature Genetics,2,,false,true,CA;DA;HG;NS;OD;TR,CA;DA;HG;NS;OD;TR,2:locus|long-read
425,38795861,2024,Characterizing genetic profiles for high triglyceride levels in U.S. patients of African ancestry,Journal of Lipid Research,1;2;3;5;6;10,,false,true,GM;HL;OD,GM;HL;OD;TR,1:type 2 diabetes|triglyceride|BMI|diabetes|lipid|cardiovascular disease|cardiovascular|hyperlipidemia; 2:PRS|whole-genome sequencing|polygenic risk score|GWAS|WGS|locus|genomic|rare variant|ancestry|ClinVar|genetic risk|multiancestry|exome|exome sequencing|polygenic; 3:AoU Researcher Workbench|Researcher Workbench|workbench|EHR; 5:cancer|metastatic; 6:minorities|racial and ethnic|underrepresented|Hispanic; 10:monogenic
426,38886587,2024,Calibrated prediction intervals for polygenic scores across diverse contexts,Nature Genetics,2;6,,false,true,GM;HG;MH;OD,GM;HG;MH;OD;TR,2:genomic|ancestry|genetic ancestry|polygenic; 6:socioeconomic|income
427,38894629,2024,On the utility of using the All of Us Research Program as a resource to study military service members and veterans,Journal of the American Medical Informatics Association : JAMIA,3;4,,false,true,OD,OD;TR,3:Researcher Workbench|workbench; 4:PTSD|post-traumatic stress|stress
428,38934896,2024,Estimating substance use disparities across intersectional social positions using machine learning: An application of group-lasso interaction network,Psychology of Addictive Behaviors : Journal of the Society of Psychologists in Addictive Behaviors,3;4;6,,false,true,AA;OD,AA;OD;TR,3:machine learning; 4:substance use|cannabis; 6:health disparities|underrepresented|disparities|sexual minority|minority
429,38920308,2024,Association of Daily Step Count and Postoperative Complication among All of Us Research Participants,Journal of the American College of Surgeons,3;7,,false,true,,,3:AoU Researcher Workbench|Researcher Workbench|workbench|EHR; 7:step count|Fitbit|wearable|physical activity|wearable device|steps per day
430,38917428,2024,Using patient portals for large-scale recruitment of individuals underrepresented in biomedical research: an evaluation of engagement patterns throughout the patient portal recruitment process at a single site within the All of Us Research Program,Journal of the American Medical Informatics Association : JAMIA,3;6;17,,false,true,,,3:electronic health record|EHR; 6:UBR|racial and ethnic|socioeconomic|underrepresented|race and ethnicity; 17:patient portal recruitment|patient portal|outreach|recruitment
431,38917426,2024,All of whom? Limitations encountered using All of Us Researcher Workbench in a Primary Care residents secondary data analysis research training block,Journal of the American Medical Informatics Association : JAMIA,3;17,,false,true,,,3:Researcher Workbench|workbench; 17:research training
437,36775104,2023,Association between psoriasis and celiac disease: A cross-sectional study in the All of Us Research Program,Journal of the American Academy of Dermatology,1;3;9;12,,false,true,OD,OD;TR,1:BMI|fatty liver|diabetes|type 1 diabetes; 3:electronic health record|EHR|SNOMED; 9:lupus|systemic lupus|inflammatory bowel disease|autoimmune disease|rheumatoid arthritis|celiac|autoimmune comorbidities|autoimmune|psoriasis; 12:alopecia areata|vitiligo|alopecia|psoriasis
438,36751318,2022,Tinea versicolour in underrepresented groups: An All of Us database analysis,Skin Health and Disease,6;12;15,,false,true,,,6:underrepresented groups|health disparities|uninsured|underrepresented|disparities|Black patients|income|Hispanic; 12:dermatologic; 15:pregnancy
439,34872990,2021,Pharmacogenomic testing and prescribing patterns for patients with cancer in a large national precision medicine cohort,Journal of Medical Genetics,5;16,,false,true,OD,OD;TR,5:cancer; 16:pharmacogenomic
441,27376949,2016,Consent Issues in Genetic Research: Views of Research Participants,Public Health Genomics,17,,false,true,CA;TR,CA;OD;TR,17:consent issues in genetic research
