record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
298,34688700,2021,1;3;6;18,FA1;FA7;FA8,3,0,"The Association among Blood Pressure, Blood Pressure Medications, and Glaucoma in a Nationwide Electronic Health Records Database"
300,37564683,2023,1;12,FA1;FA7;FA8,3,0,Onychogryphosis Is Associated with Dermatologic and Vascular Disease: A Case-Control Study of the All of Us Research Program
302,,2024,1;3;4,FA1;FA5;FA8,3,0,Genes associated with depression and coronary artery disease are enriched for cardiomyopathy and inflammatory phenotypes
306,,2022,1;3;6;10,FA1;FA4;FA7;FA8,4,0,Examining Sickle Cell Trait Associated Clinical Outcomes in the All of Us research Program
309,37523187,2023,1;4;6;8;13,FA1;FA5;FA7;FA8,4,0,Prevalence of 12 Common Health Conditions in Sexual and Gender Minority Participants in the All of Us Research Program
310,37561459,2023,3;5,FA1;FA8,2,0,Alcohol Consumption Among Adults With a Cancer Diagnosis in the All of Us Research Program
311,37557056,2023,1;3;14,FA1;FA8,2,0,Machine learning algorithms to predict major adverse cardiovascular events in patients with diabetes
316,36782129,2023,4;8;18,FA1;FA5;FA7,3,0,Mental health and social support among glaucoma patients enrolled in the NIH All of Us COVID-19 Participant Experience (COPE) survey
317,36763157,2023,6;12,FA1;FA7,2,0,Alopecia areata in underrepresented groups: preliminary analysis of the all of us research program
321,37579839,2023,6;9;12,FA1;FA7,2,0,Underdiagnosis of psoriasis in underrepresented groups: An 'All of Us' database analysis
323,37734665,2023,5;9;12,FA1;FA7;FA8,3,0,Association of psoriasis and systemic lupus erythematosus and mediation effects of tumor necrosis factor-α inhibitors: A cross-sectional study in the All of Us Research Program
328,36216933,2022,1;4;7,FA1;FA5;FA8,3,0,Association of step counts over time with the risk of chronic disease in the All of Us Research Program
329,36435346,2022,1,FA1;FA8,2,0,Kidney Stone Prevalence Based on Self-Report and Electronic Health Records: Insight into the Prevalence of Active Medical Care for Kidney Stones
337,37755822,2023,6;9;12,FA1;FA7,2,0,Barriers to Care Among Sexual and Gender Minority Individuals With Chronic Inflammatory Skin Diseases in the US
342,36173112,2022,8,FA1,1,0,Concordance of SARS-CoV-2 Antibody Results during a Period of Low Prevalence
343,36244557,2022,6;9;12,FA1;FA7,2,0,Racial and ethnic differences in barriers to care among US adults with chronic inflammatory skin diseases: A cross-sectional study of the All of Us Research Program
344,34406131,2021,17,FA4;FA7,2,0,Communicating to Engage: An Improvisational Theater-Based Communication Training Designed to Support Community-Academic Partnership Development
345,31797629,2019,1;2;16,FA1;FA4;FA8,3,0,Frequency of ClinVar Pathogenic Variants in Chronic Kidney Disease Patients Surveyed for Return of Research Results at a Cleveland Public Hospital
346,,2024,3;5,FA1;FA8,2,0,Prostate Cancer Prediction Using Healthcare Utilization Patterns
347,38374346,2024,2,FA8,1,0,"Selection, optimization and validation of ten chronic disease polygenic risk scores for clinical implementation in diverse US populations"
348,38374434,2024,2;5;6;10,FA1;FA4;FA7;FA8,4,0,The frequency of pathogenic variation in the All of Us cohort reveals ancestry-driven disparities
349,38409350,2024,11,FA1;FA3,2,0,Leveraging generative AI to prioritize drug repurposing candidates for Alzheimer's disease with real-world clinical validation
350,38374256,2024,1;2,FA1;FA8,2,0,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology
355,38218218,2024,9,FA1,1,0,Sarcoidosis Is Associated With Hematologic Comorbidities: A Cross-Sectional Study in the All of Us Research Program
356,38363572,2024,2;11;14,FA1;FA3;FA8,3,0,APOE ε4 and Intracerebral Hemorrhage in Patients With Brain Arteriovenous Malformation
357,38452818,2024,5;9;12,FA1;FA7;FA8,3,0,Psoriasis and non-Hodgkin's lymphoma in a diverse sample of U.S. adults: a propensity matched case-control study
