record_id,pubmed_id,year,title,themes,ic_admin_original,ic_admin_reattributed,cofunding_ics_original,fractional_attribution
211,37523618,2023,"Racial, Ethnic, and Socioeconomic Disparities in Glaucoma Onset and Severity in a Diverse Nationwide Cohort in the United States",6;18,EY;LM;MD;OD;TR,EY;LM;MD;OD;TR,DE;ES;EY;LM;MD;OD;TR,NIMHD(0.500);NEI(0.500)
214,36883588,2023,"Association of alopecia areata with alcohol use disorder, attention-deficit hyperactivity disorder and insomnia: a case-control analysis using the All of Us research programme",4;12;13,,,,NHLBI(0.333);NIMH(0.233);NIAMS(0.233);NCI(0.100);NIDA(0.067);NIAAA(0.033)
215,38097619,2023,Polygenic risk alters the penetrance of monogenic kidney disease,1;2;10,DK;HG;LM;OD;TR,DK;HG;LM;OD;TR,DK;HG;LM;OD;TR,NHGRI(0.500);NHLBI(0.233);NCATS(0.167);NIDDK(0.100)
217,37585212,2023,Representation of Race and Ethnicity in the Contemporary US Health Cohort All of Us Research Program,6,HG,HG,HG,NIMHD(1.000)
218,37603847,2023,Prevalence and Treatment Patterns of Inflammatory Bowel Disease in the All of Us Research Program,9,AG;DK,AG;DK,AG;DK;OD,NIAID(0.500);NIAMS(0.500)
219,37611751,2023,Effect of Metformin Use on Vitamin B12 Deficiency Over Time (EMBER): A Real-World Evidence Database Study,1;16,,,,NHLBI(0.400);NIGMS(0.300);NIDDK(0.150);NHGRI(0.100);NCI(0.050)
220,37594966,2023,"Examining sociodemographic correlates of opioid use, misuse, and use disorders in the All of Us Research Program",3;4;6,OD,NLM(0.33);NIMHD(0.33);NIMH(0.23);NIDA(0.07);NIAAA(0.03),OD,NLM(0.333);NIMHD(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
221,37679534,2023,Nativity differences in socioeconomic barriers and healthcare delays among cancer survivors in the All of Us cohort,5;6,CA;OD,CA;OD,CA;OD;TR,NCI(0.500);NIMHD(0.500)
226,36398985,2022,Achieving a Representative Sample of Asian Americans in Biomedical Research Through Community-Based Approaches: Comparing Demographic Data in the All of Us Research Program With the American Community Survey,6,OD,NIMHD(1.00),OD,NIMHD(1.000)
227,36458881,2022,Association of Longitudinal Activity Measures and Diabetes Risk: An Analysis From the National Institutes of Health All of Us Research Program,1;7,DK;GM;HL,DK;GM;HL,DK;GM;HL;OD,NHLBI(0.450);NIBIB(0.250);NIDDK(0.225);NIMH(0.075)
229,36727790,2023,Evaluation of Depression and Anxiety in a Diverse Population With Thyroid Eye Disease Using the Nationwide NIH All of Us Database,4;6;18,EY;OD,EY;OD,DE;EY;OD;TR,NIMHD(0.333);NEI(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
230,,2023,Health disparities in the treatment of bipolar disorder,4;6,,,,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
233,37124163,2023,Modeling the impact of digital readiness in recruiting and sustaining underrepresented groups: Data from the All of Us research program,6;8;17,,,,NIMHD(0.333);NIAID(0.333);NIH-Wide(0.233);NHGRI(0.100)
234,37109001,2023,All of Us and the Promise of Precision Medicine: Achieving Equitable Access for Federally Qualified Health Center Patients,5;6;17,HG,HG,HG;OD,NCI(0.333);NIMHD(0.333);NIH-Wide(0.233);NHGRI(0.100)
235,37107973,2023,Application of Machine Learning Algorithms to Predict Uncontrolled Diabetes Using the All of Us Research Program Data,1;3,,,,NLM(0.500);NHLBI(0.350);NIDDK(0.150)
236,36809550,2023,Managing re-identification risks while providing access to the All of Us research program,3,HG;OD,HG;OD,HG;OD,NLM(1.000)
237,37114382,2023,Investigating the association between gender minority identity and skin cancer prevalence: A cohort study in the United States All of Us research program,5;6;12,AR,AR,AR,NCI(0.433);NIMHD(0.333);NIAMS(0.233)
239,39586798,2024,Identifying diagnosed major chronic diseases associated with recent housing instability among aging adults: data from the 'All of Us' research program,1;6;11,,,,NIMHD(0.333);NIA(0.267);NHLBI(0.233);NIDDK(0.100);NINDS(0.067)
241,,2024,Cross-sectional Prevalence Data for Lichen Sclerosis et Atrophicus in the All of Us Database: Implications for Routine Genital Skin Examination,3;12,,,,NLM(0.500);NIAMS(0.350);NCI(0.150)
243,36482257,2022,Psychiatric comorbidities of Hidradenitis suppurativa in underrepresented groups: a case-control study utilizing the all of us research program,4;6;12,,,,NIMHD(0.333);NIMH(0.233);NIAMS(0.233);NCI(0.100);NIDA(0.067);NIAAA(0.033)
244,36529377,2022,Lichen sclerosus among women with psoriasis: A cross-sectional study in the All of Us research program,9;12,,,,NIAMS(0.600);NIAID(0.250);NCI(0.150)
245,36529268,2022,Effect of visual impairment on depression and anxiety during the COVID-19 pandemic in the United States,4;8,,,,NIAID(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
249,40133288,2025,Leveraging large-scale biobank EHRs to enhance pharmacogenetics of cardiometabolic disease medications,1;2;3;11;16,GM;HG,GM;HG,CA;DA;GM;HD;HG,NHGRI(0.240);NLM(0.200);NIA(0.160);NHLBI(0.160);NIGMS(0.120);NIDDK(0.060);NINDS(0.040);NCI(0.020)
250,36995727,2023,Prevalence of Delayed or Forgone Care Due to Patient-Clinician Identity Discordance Among US Cancer Survivors,5;6;17,,,,NCI(0.333);NIMHD(0.333);NIH-Wide(0.233);NHGRI(0.100)
251,,2023,The association of hidradenitis suppurativa with obstructive sleep apnea: A cross‐sectional study using the All of Us database,1;3;6;12;13,,,,NHLBI(0.340);NLM(0.200);NIMHD(0.200);NIAMS(0.140);NIDDK(0.060);NCI(0.060)
254,,2024,Racial Differences in Incidence of Anxiety and Depression Among Mastectomy and Breast Reconstruction Patients Using the All of Us Database,4,,,,NIMH(0.700);NIDA(0.200);NIAAA(0.100)
256,31045611,2019,Development of the Initial Surveys for the All of Us Research Program,7,AG;CA;HL;OD,AG;CA;HL;OD,AG;AR;AT;CA;DA;DC;DK;HD;HL;MH;NR;NS;OD;TR,NIBIB(0.500);NHLBI(0.200);NIDDK(0.150);NIMH(0.150)
258,35661997,2022,Thyroid disorders associated with lichen sclerosus: a case-control study in the All of Us Research Program,12,HL;OD;TR,HL;OD;TR,HL;OD;TR,NIAMS(0.700);NCI(0.300)
265,33704080,2021,Motivation to Participate in Precision Health Research and Acceptability of Texting as a Recruitment and Intervention Strategy Among Vietnamese Americans: Qualitative Study,6;17,AG;MD,AG;MD,AG;MD;OD,NIMHD(0.500);NIH-Wide(0.350);NHGRI(0.150)
267,35927974,2022,Keeping synthetic patients on track: feedback mechanisms to mitigate performance drift in longitudinal health data simulation,3,OD;TR,OD;TR,OD;TR,NLM(1.000)
268,36048778,2022,"An Overview of Cancer in the First 315,000 All of Us Participants",3;5,OD;TR,OD;TR,OD;TR,NLM(0.500);NCI(0.500)
269,,2022,Impact of cardiovascular disease: a literature review of the All of Us Research Program - An NIH Precision Medicine Initiative,1;6,,,,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
271,40135579,2025,Patient Predictors of Combination Therapy as Initial Hypertension Treatment: The AOURP (All of Us Research Program) Registry,1,,,,NHLBI(0.700);NIDDK(0.300)
272,36394556,2022,Associations Between Thyroid Eye Disease and Glaucoma Among Those Enrolled in the National Institutes of Health All of Us Research Program,18,EY;OD,EY;OD,DE;EY;OD;TR,NEI(1.000)
273,36401617,2022,Lichen planus is associated with depression and anxiety: a cross-sectional study in the All of Us research program,1;4;8;12,,,,NIAID(0.250);NHLBI(0.175);NIMH(0.175);NIAMS(0.175);NIDDK(0.075);NCI(0.075);NIDA(0.050);NIAAA(0.025)
274,40130972,2025,"Associations between Class I, II, or III Obesity and Health Outcomes",1;13,,,,NHLBI(0.850);NIDDK(0.150)
276,36707438,2023,Psoriasis associated with asthma and allergic rhinitis: a US-based cross-sectional study using the All of US Research Program,9;12;13;18,,,,NIAMS(0.300);NHLBI(0.250);NEI(0.250);NIAID(0.125);NCI(0.075)
277,36705447,2023,Sex and Racial Differences in Systemic Lupus Erythematosus Among US Adults in the All of Us Research Program,3;6;9,AG;OD,AG;OD,AG;OD;TR,NLM(0.333);NIMHD(0.333);NIAID(0.167);NIAMS(0.167)
282,31580791,2019,Return of Value in the New Era of Biomedical Research-One Size Will Not Fit All,17,OD,NIH-Wide(0.70);NHGRI(0.30),OD,NIH-Wide(0.700);NHGRI(0.300)
284,36371759,2022,'Extremely slow and capricious': A qualitative exploration of genetic researcher priorities in selecting shared data resources,,CA;HG;MH;TR,CA;HG;MH;TR,CA;HG;MH;OD;TR,NCI(0.250);NHGRI(0.250);NIMH(0.250);NCATS(0.250)
286,37163649,2023,Socioeconomic and Racial/Ethnic Disparities in Perception of Health Status and Literacy in Spine Oncological Patients: Insights from the All of Us Research Program,5;6,,,,NCI(0.500);NIMHD(0.500)
287,37459328,2023,Family and personal history of cancer in the All of Us research program for precision medicine,5,LM;OD,LM;OD,ES;LM;OD;TR,NCI(1.000)
292,35013250,2022,Integrating gene expression and clinical data to identify drug repurposing candidates for hyperlipidemia and hypertension,1;3,AG;GM;HG;HL;LM;OD;TR,AG;GM;HG;HL;LM;OD;TR,AG;AI;ES;GM;HG;HL;LM;MD;NS;OD;TR,NLM(0.500);NHLBI(0.350);NIDDK(0.150)
293,35721298,2022,Prevalence of lichen planopilaris in the United States: A cross-sectional study of the All of Us research program,12,,,,NIAMS(0.700);NCI(0.300)
294,36468789,2022,The association of atopic dermatitis and chronic rhinosinusitis in adults: a cross-sectional study using the All of Us research program,12;18,,,,NEI(0.500);NIAMS(0.350);NCI(0.150)
296,36535714,2022,Effects of housing environments on COVID-19 transmission and mental health revealed by COVID-19 Participant Experience data from the All of Us Research Program in the USA: a case-control study,4;6;8,OD,NIMHD(0.33);NIAID(0.33);NIMH(0.23);NIDA(0.07);NIAAA(0.03),OD,NIMHD(0.333);NIAID(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
298,34688700,2021,"The Association among Blood Pressure, Blood Pressure Medications, and Glaucoma in a Nationwide Electronic Health Records Database",1;3;6;18,EY;OD,EY;OD,EY;OD;TR,NLM(0.250);NIMHD(0.250);NEI(0.250);NHLBI(0.175);NIDDK(0.075)
300,37564683,2023,Onychogryphosis Is Associated with Dermatologic and Vascular Disease: A Case-Control Study of the All of Us Research Program,1;12,CA;GM;TR,CA;GM;TR,CA;GM;HL;TR,NHLBI(0.350);NIAMS(0.350);NIDDK(0.150);NCI(0.150)
