pubmed_id,year,title,journal,themes,subthemes,publication_types
41513650,2026,A large-scale multi-ancestry genome-wide association study of chronic prostatitis/chronic pelvic pain syndrome in men.,Nature communications,2;4;5,,Journal Article
41511773,2026,Opportunistic Genomic Screening for Familial Hypercholesterolemia to Improve Low-Density Lipoprotein Cholesterol: A Randomized Clinical Trial.,JAMA network open,1;2;10,,Journal Article;Randomized Controlled Trial
41489281,2026,"Exploring Sex Differences in Irritable Bowel Syndrome Prevalence, Environmental Risk, and Comorbidities: A Population-Based Cohort Study of Veterans.",Clinical and translational gastroenterology,4,,Journal Article;Observational Study
41485611,2026,Dietary sodium and potassium intake and risk of diabetes in the Million Veteran Program.,Clinical nutrition ESPEN,1,,Journal Article
41466414,2025,"Genome-wide association for sarcoidosis identifies novel risk loci and genetic heritability in African and European ancestries: a meta-analysis from the Finngen, Million Veteran Program, UK Biobank, and Biobank Japan datasets.",Orphanet journal of rare diseases,2;9,,Journal Article
41445618,2025,Multivariate genome-wide association study of suicidal behaviors in >1.7 million individuals of diverse population descents.,medRxiv : the preprint server for health sciences,2;4,,Journal Article;Preprint
41420111,2026,"A multi-ancestry meta genome-wide association study of migraine among veterans: associations with traumatic brain injury, depression, and post-traumatic stress disorder.",Molecular psychiatry,2;4;14,,Journal Article;Meta-Analysis
41413047,2025,Genetic and dietary determinants of gut microbiome-bile acid interactions in the BXD genetic reference population.,Nature communications,,,Journal Article
41398582,2025,Alcohol consumption and risk of cancer: a Mendelian randomization analysis of four biobanks and consortium data.,BMC medicine,2;5;10;15,,Journal Article
41376171,2026,Leveraging large-scale biobanks for therapeutic target discovery.,HGG advances,2,,Journal Article
