pubmed_id,year,title,journal,themes,subthemes,publication_types
33141367,2021,No Evidence for Passive Gene-Environment Correlation or the Influence of Genetic Risk for Psychiatric Disorders on Adult Body Composition via the Adoption Design.,Behavior genetics,2;4,,"Journal Article;Research Support, Non-U.S. Gov't"
33139801,2021,Serum lipid profiles and risk of colorectal cancer: a prospective cohort study in the UK Biobank.,British journal of cancer,1;5,,"Journal Article;Multicenter Study;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33132184,2020,Hypertension is associated with reduced hippocampal connectivity and impaired memory.,EBioMedicine,1,,Journal Article
33131310,2020,Association of Cardiovascular Risk Factors and Lifestyle Behaviors With Hypertension: A Mendelian Randomization Study.,"Hypertension (Dallas, Tex. : 1979)",1;2;7;10;13,,"Journal Article;Research Support, Non-U.S. Gov't"
33128006,2020,Genome-wide association study of self-reported walking pace suggests beneficial effects of brisk walking on health and survival.,Communications biology,2,,"Journal Article;Research Support, Non-U.S. Gov't"
33127858,2021,Conventional and Genetic Evidence on the Association between Adiposity and CKD.,Journal of the American Society of Nephrology : JASN,1;2,,"Journal Article;Research Support, Non-U.S. Gov't"
33125721,2021,Genetic susceptibility for major depressive disorder associates with trajectories of depressive symptoms across childhood and adolescence.,"Journal of child psychology and psychiatry, and allied disciplines",2;4,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33125279,2020,Cardiac Imaging of Aortic Valve Area From 34 287 UK Biobank Participants Reveals Novel Genetic Associations and Shared Genetic Comorbidity With Multiple Disease Phenotypes.,Circulation. Genomic and precision medicine,1;2;9,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
33125268,2020,Spontaneous Coronary Artery Dissection: Insights on Rare Genetic Variation From Genome Sequencing.,Circulation. Genomic and precision medicine,1;2;10;15,,"Journal Article;Research Support, Non-U.S. Gov't"
33125266,2020,Comprehensive Investigation of Circulating Biomarkers and Their Causal Role in Atherosclerosis-Related Risk Factors and Clinical Events.,Circulation. Genomic and precision medicine,1;2;14,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33125193,2020,Habitual sleep disturbances and migraine: a Mendelian randomization study.,Annals of clinical and translational neurology,2;10;13;14,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33120349,2021,Links between air pollution and COVID-19 in England.,"Environmental pollution (Barking, Essex : 1987)",6;8;19,,Journal Article
33115273,2021,Genome-Wide Association Study Highlights APOH as a Novel Locus for Lipoprotein(a) Levels-Brief Report.,"Arteriosclerosis, thrombosis, and vascular biology",1;2;11,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33115266,2021,Lp(a) (Lipoprotein[a]) Concentrations and Incident Atherosclerotic Cardiovascular Disease: New Insights From a Large National Biobank.,"Arteriosclerosis, thrombosis, and vascular biology",1,,"Journal Article;Observational Study;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33110269,2021,Individuals with common diseases but with a low polygenic risk score could be prioritized for rare variant screening.,Genetics in medicine : official journal of the American College of Medical Genetics,2,,"Journal Article;Research Support, Non-U.S. Gov't"
33109997,2020,"Age, menstruation history, and the brain.","Menopause (New York, N.Y.)",1;11;14;15,,"Journal Article;Research Support, Non-U.S. Gov't"
33109261,2020,The landscape of host genetic factors involved in immune response to common viral infections.,Genome medicine,2;5;8,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33104719,2020,Estimating indirect parental genetic effects on offspring phenotypes using virtual parental genotypes derived from sibling and half sibling pairs.,PLoS genetics,2,,"Journal Article;Research Support, Non-U.S. Gov't"
33099541,2020,Early-Life Factors and Risk of Multiple Sclerosis: An MR-EWAS.,Neuroepidemiology,2;9;14;15,,"Journal Article;Research Support, Non-U.S. Gov't"
33097823,2020,The genetic architecture of appendicular lean mass characterized by association analysis in the UK Biobank study.,Communications biology,1;2;11,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
33096330,2021,"Living alone, loneliness and lack of emotional support as predictors of suicide and self-harm: A nine-year follow up of the UK Biobank cohort.",Journal of affective disorders,4,,"Journal Article;Research Support, Non-U.S. Gov't"
