pubmed_id,year,title,journal,themes,subthemes,publication_types
39358758,2024,Pregnancy loss and risk of cardiometabolic multimorbidity in Chinese women: the China Kadoorie Biobank study.,BMC public health,1;14;15,,"Journal Article;Research Support, Non-U.S. Gov't"
39349436,2024,Association of autosomal mosaic chromosomal alterations with risk of bladder cancer in Chinese adults: a prospective cohort study.,Cell death & disease,3;5,,Journal Article
39322770,2024,Measured and genetically predicted protein levels and cardiovascular diseases in UK Biobank and China Kadoorie Biobank.,Nature cardiovascular research,1;2;14,,Journal Article
39308399,2024,DNA Methylation Age Mediates Effect of Metabolic Profile on Cardiovascular and General Aging.,Circulation research,1;11,,Journal Article
39225766,2024,The Role of Active and Passive Smoking in Chronic Obstructive Pulmonary Disease and Systemic Inflammation: A 12-year Prospective Study in China.,Journal of epidemiology and global health,4;13,,Journal Article
39193696,2025,Role of lifestyle factors on the development and long-term prognosis of pneumonia and cardiovascular disease in the Chinese population.,Chinese medical journal,1,,Journal Article
39142240,2024,Height and cancer risk in East Asians: Evidence from a prospective cohort study and Mendelian randomization analyses.,Cancer epidemiology,2;5;10,,Journal Article;Observational Study
39085848,2024,Association between socioeconomic status and risk of chronic obstructive pulmonary disease in China: a prospective cohort study.,BMC public health,6;13,,"Journal Article;Research Support, Non-U.S. Gov't"
39081880,2024,One-size-fits-all versus risk-category-based screening interval strategies for cardiovascular disease prevention in Chinese adults: a prospective cohort study.,The Lancet regional health. Western Pacific,1,,Journal Article
39036669,2023,Interplay between oral health and lifestyle factors for cancer risk in rural and urban China: a population-based cohort study.,Journal of the National Cancer Center,5;6,,Journal Article
39030074,2025,Spicy food consumption and risk of vascular disease: Evidence from a large-scale Chinese prospective cohort of 0.5 million people.,Chinese medical journal,1;14,,Journal Article
39008896,2024,Prospective evaluation of the relevance of Epstein-Barr virus antibodies for early detection of nasopharyngeal carcinoma in Chinese adults.,International journal of epidemiology,5;8,,Journal Article
39004962,2024,[Prospective association study of sleep status and risk of coronary heart disease in adults in Suzhou].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;2;13;14,,English Abstract;Journal Article
39004961,2024,[Associations of body mass index and waist circumference with risk of chronic kidney disease in adults in China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;14,,English Abstract;Journal Article
39002770,2024,"Incidence and mortality rates of 14 site-specific infectious diseases in 10 diverse areas of China: findings from China Kadoorie Biobank, 2006-2018.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,6,,Journal Article
38987358,2024,Joint impact of polygenic risk score and lifestyles on early- and late-onset cardiovascular diseases.,Nature human behaviour,1;2;14,,Journal Article
38977296,2024,Socioeconomic disparity in the natural history of cutaneous melanoma: evidence from two large prospective cohorts.,Journal of epidemiology and community health,5;6;12,,Journal Article
38889989,2024,[Analysis of highly cited papers in Chinese Journal of Epidemiology from 2020 to 2023].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;5;8,,English Abstract;Journal Article
38889975,2024,[An observational and Mendelian randomization study of the associations of body mass index with plasma amino acids and acylcarnitines in Chinese adults].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2;10,,English Abstract;Journal Article
38885669,2024,Early adulthood BMI and cardiovascular disease: a prospective cohort study from the China Kadoorie Biobank.,The Lancet. Public health,1;14,,"Journal Article;Research Support, Non-U.S. Gov't"
38876387,2024,Development and evaluation of a risk prediction tool for risk-adapted screening of colorectal cancer in China.,Cancer letters,3;5,,Journal Article
38809553,2024,Helicobacter pylori Treatment and Gastric Cancer Risk Among Individuals With High Genetic Risk for Gastric Cancer.,JAMA network open,2;5,,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural"
38699413,2024,"Temporal change in multimorbidity prevalence, clustering patterns, and the association with mortality: findings from the China Kadoorie Biobank study in Jiangsu Province.",Frontiers in public health,1;3;8;9;13;14,,"Journal Article;Research Support, Non-U.S. Gov't"
38685601,2024,Association of lifestyle with reduced stroke risk in 41 314 individuals with diabetes: Two prospective cohort studies in China.,"Diabetes, obesity & metabolism",1;7;14,14.2-stroke-cerebro,"Journal Article;Research Support, Non-U.S. Gov't"
38678343,2024,[A prospective study on the relationship between exposure to solid fuels for heating and its duration and the risk of morbidity of respiratory diseases among residents aged 30-79 years].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,13,,English Abstract;Journal Article
38654428,2024,Dietary factors and patterns in relation to risk of later-onset ulcerative colitis in Chinese: A prospective study of 0.5 million people.,Alimentary pharmacology & therapeutics,9,,"Journal Article;Research Support, Non-U.S. Gov't"
38629743,2024,Predictive value of 8-year blood pressure measures in intracerebral haemorrhage risk over 5 years.,European journal of preventive cardiology,1;3;6,,Journal Article
38623619,2024,Proteomic Analyses in Diverse Populations Improved Risk Prediction and Identified New Drug Targets for Type 2 Diabetes.,Diabetes care,1;2;3,,"Journal Article;Research Support, Non-U.S. Gov't"
38587297,2024,Socioeconomic disparities in the association of age at first live birth with incident stroke among Chinese parous women: A prospective cohort study.,Journal of global health,1;6;14,14.2-stroke-cerebro,Journal Article
38572088,2024,Correlates and consequences of atrial fibrillation in a prospective study of 25 000 participants in the China Kadoorie Biobank.,European heart journal open,1;14,,Journal Article
38532314,2024,"Reproductive factors and risk of lung cancer among 300,000 Chinese female never-smokers: evidence from the China Kadoorie Biobank study.",BMC cancer,5,,Journal Article
38525868,2024,Associations of traditional cardiovascular risk factors with 15-year blood pressure change and trajectories in Chinese adults: a prospective cohort study.,Journal of hypertension,1,,Journal Article
38514308,2024,[A prospective study on association between sleep duration and the risk of chronic obstructive pulmonary disease in adults in Suzhou].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;7;13,,English Abstract;Journal Article
38514307,2024,[A prospective study of association between physical activity and ischemic stroke in adults].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;7;14,14.2-stroke-cerebro,English Abstract;Journal Article
38461358,2024,A genome-wide association study based on the China Kadoorie Biobank identifies genetic associations between snoring and cardiometabolic traits.,Communications biology,1;2,,"Journal Article;Research Support, Non-U.S. Gov't"
38413054,2024,[Association between waist circumference and ischemic stroke: a prospective study in adults from Qingdao].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;14,14.2-stroke-cerebro,English Abstract;Journal Article
38413053,2024,[Physical activity and its influencing factors in patients with diabetes mellitus: a comparative study between China and the United Kingdom].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;7,,English Abstract;Journal Article
38367798,2024,Secondhand smoke exposure can increase the risk of first ischemic stroke: A 10.7-year prospective cohort study in China.,Annals of epidemiology,1;4;14,14.2-stroke-cerebro,"Journal Article;Research Support, Non-U.S. Gov't"
38357394,2024,A wide landscape of morbidity and mortality risk associated with marital status in 0.5 million Chinese men and women: a prospective cohort study.,The Lancet regional health. Western Pacific,1;2;4,,Journal Article
38304719,2024,Causal association between snoring and stroke: a Mendelian randomization study in a Chinese population.,The Lancet regional health. Western Pacific,1;2;10;14,14.2-stroke-cerebro,Journal Article
38267203,2024,Diabetes and chronic kidney disease in Chinese adults: a population-based cohort study.,BMJ open diabetes research & care,1,,"Journal Article;Research Support, Non-U.S. Gov't"
38228525,2024,[Epidemiological distribution of mosaic loss of chromosome Y in adult men in 10 areas in China and its prospective association with lung cancer].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,5,,English Abstract;Journal Article
38228522,2024,[Progress and practice of objective measurement of physical behaviors in large-scale cohort research].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,7,,English Abstract;Journal Article
38228521,2024,[A prospective cohort study of factors associated with longevity in older adults in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;6;11,,English Abstract;Journal Article
38228520,2024,[Epidemiological characteristics of preserved vegetable intake in adults in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,,,English Abstract;Journal Article
38228519,2024,[Prevalence of urinary incontinence in middle-aged and elderly adults in 10 areas in China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,11,,English Abstract;Journal Article
38198221,2024,PCSK9 genetic variants and risk of vascular and non-vascular diseases in Chinese and UK populations.,European journal of preventive cardiology,1;2;13;14,,Journal Article;Multicenter Study
40017861,2023,"Menopausal status, age at menopause and risk of all-cause mortality among Chinese women: findings from a 10-year prospective study.",BMJ public health,15,,Journal Article
38129138,2023,[Comparative study on physical activity and its influencing factors in patients with chronic pulmonary obstructive disease between China and the United Kingdom].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,7;13,,English Abstract;Journal Article
38108203,2024,"Infectious pathogens and risk of esophageal, gastric and duodenal cancers and ulcers in China: A case-cohort study.",International journal of cancer,5;8,,Journal Article
38001522,2023,"Device-measured movement behaviours in over 20,000 China Kadoorie Biobank participants.",The international journal of behavioral nutrition and physical activity,6;7,,"Journal Article;Research Support, Non-U.S. Gov't"
38001425,2023,Associations between experience of stressful life events and cancer prevalence in China: results from the China Kadoorie Biobank study.,BMC cancer,5,,Journal Article
